Name,Type,HasZ,HasM,CoordinateSystem,FeatureDataset,EditorTracking,CatalogPath
Geosite_Locations,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\Geosite_Locations
OBJECTID,OID,,,,,,
OBJECTID_1,Double,,,,,,
Name,String,,,,,,
long_,Double,,,,,,
lat,Double,,,,,,
Picture,String,,,,,,
Thumb,String,,,,,,
SymbolID,String,,,,,,
Shape,Geometry,,,,,,
Description,String,,,,,,
,,,,,,,
MLA_report_locations,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\MLA_report_locations
OBJECTID,OID,,,,,,
SHAPE,Geometry,,,,,,
wsa,String,,,,,,
file,String,,,,,,
url,String,,,,,,
,,,,,,,
bentonite,Polygon,Disabled,Disabled,WGS_1984_Web_Mercator_Auxiliary_Sphere,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\bentonite
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
UnitSymbol,String,,,,,,
UnitName,String,,,,,,
Age,String,,,,,,
geolref,String,,,,,,
res_pot_rank,String,,,,,,
Commodity,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
,,,,,,,
dolomite,Polygon,Disabled,Disabled,WGS_1984_Web_Mercator_Auxiliary_Sphere,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\dolomite
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
UNITSYMBOL,String,,,,,,
UNITNAME,String,,,,,,
AGE,String,,,,,,
GeolRef,String,,,,,,
Res_Pot_Rank,String,,,,,,
Commodity,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
,,,,,,,
gypsum,Polygon,Disabled,Disabled,WGS_1984_Web_Mercator_Auxiliary_Sphere,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\gypsum
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
UNITSYMBOL,String,,,,,,
UNITNAME,String,,,,,,
AGE,String,,,,,,
GeolRef,String,,,,,,
Res_Pot_Rank,String,,,,,,
Commodity,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
,,,,,,,
limestone,Polygon,Disabled,Disabled,WGS_1984_Web_Mercator_Auxiliary_Sphere,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\limestone
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
UNITSYMBOL,String,,,,,,
UNITNAME,String,,,,,,
AGE,String,,,,,,
geolref,String,,,,,,
res_pot_rank,String,,,,,,
Commodity,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
,,,,,,,
mining_districts,Polygon,Disabled,Disabled,NAD_1927_UTM_Zone_12N,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\mining_districts
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
District,String,,,,,,
Synonym,String,,,,,,
Commodity,String,,,,,,
Short_Tons,Double,,,,,,
Organized,Double,,,,,,
Productive,String,,,,,,
Total_Dollar_Value,Double,,,,,,
Reviewed,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
,,,,,,,
silica_v2,Polygon,Disabled,Disabled,WGS_1984_Web_Mercator_Auxiliary_Sphere,-,Disabled,\\168.180.168.181\geology\html\apps\blm_mineral\mxd\BlM.Mineral\v107\All_data.gdb\silica_v2
OBJECTID,OID,,,,,,
Shape,Geometry,,,,,,
UnitSymbol,String,,,,,,
UnitName,String,,,,,,
Age,String,,,,,,
geolref,String,,,,,,
res_pot_rank,String,,,,,,
reference,String,,,,,,
comment,String,,,,,,
Commodity,String,,,,,,
Shape_Length,Double,,,,,,
Shape_Area,Double,,,,,,
